gatunek,gleba,jakosc_powietrza,temperatura,poziom_nawodnienia,wyksztalcenie_siewki
buk,plowa,dobra,niska,niski,niepowodzenie
jodla,plowa,dobra,niska,niski,powodzenie
swierk,plowa,dobra,niska,niski,powodzenie
sosna,plowa,dobra,niska,niski,powodzenie
dab,plowa,dobra,niska,niski,powodzenie
brzoza,plowa,dobra,niska,niski,powodzenie
buk,brunatna,dobra,niska,niski,powodzenie
jodla,brunatna,dobra,niska,niski,powodzenie
swierk,brunatna,dobra,niska,niski,niepowodzenie
sosna,brunatna,dobra,niska,niski,powodzenie
dab,brunatna,dobra,niska,niski,niepowodzenie
brzoza,brunatna,dobra,niska,niski,niepowodzenie
buk,czarnoziem,dobra,niska,niski,niepowodzenie
jodla,czarnoziem,dobra,niska,niski,powodzenie
swierk,czarnoziem,dobra,niska,niski,powodzenie
sosna,czarnoziem,dobra,niska,niski,powodzenie
dab,czarnoziem,dobra,niska,niski,niepowodzenie
brzoza,czarnoziem,dobra,niska,niski,powodzenie
buk,bielicowa,dobra,niska,umiarkowany,niepowodzenie
jodla,bielicowa,dobra,niska,umiarkowany,powodzenie
swierk,bielicowa,dobra,niska,umiarkowany,niepowodzenie
sosna,bielicowa,dobra,niska,umiarkowany,niepowodzenie
dab,bielicowa,dobra,niska,umiarkowany,powodzenie
brzoza,bielicowa,dobra,niska,umiarkowany,niepowodzenie
buk,plowa,dobra,niska,umiarkowany,niepowodzenie
jodla,plowa,dobra,niska,umiarkowany,niepowodzenie
swierk,plowa,dobra,niska,umiarkowany,powodzenie
sosna,plowa,dobra,niska,umiarkowany,powodzenie
dab,plowa,dobra,niska,umiarkowany,powodzenie
brzoza,plowa,dobra,niska,umiarkowany,powodzenie
buk,brunatna,dobra,niska,umiarkowany,niepowodzenie
jodla,brunatna,dobra,niska,umiarkowany,powodzenie
swierk,brunatna,dobra,niska,umiarkowany,niepowodzenie
sosna,brunatna,dobra,niska,umiarkowany,powodzenie
dab,brunatna,dobra,niska,umiarkowany,niepowodzenie
brzoza,brunatna,dobra,niska,umiarkowany,niepowodzenie
buk,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
jodla,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
swierk,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
sosna,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
dab,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
brzoza,czarnoziem,dobra,niska,umiarkowany,niepowodzenie
buk,bielicowa,dobra,niska,wysoki,niepowodzenie
jodla,bielicowa,dobra,niska,wysoki,niepowodzenie
swierk,bielicowa,dobra,niska,wysoki,niepowodzenie
sosna,bielicowa,dobra,niska,wysoki,niepowodzenie
dab,bielicowa,dobra,niska,wysoki,niepowodzenie
brzoza,bielicowa,dobra,niska,wysoki,niepowodzenie
buk,plowa,dobra,niska,wysoki,niepowodzenie
jodla,plowa,dobra,niska,wysoki,niepowodzenie
swierk,plowa,dobra,niska,wysoki,niepowodzenie
sosna,plowa,dobra,niska,wysoki,niepowodzenie
dab,plowa,dobra,niska,wysoki,niepowodzenie
brzoza,plowa,dobra,niska,wysoki,niepowodzenie
buk,brunatna,dobra,niska,wysoki,niepowodzenie
jodla,brunatna,dobra,niska,wysoki,niepowodzenie
swierk,brunatna,dobra,niska,wysoki,niepowodzenie
sosna,brunatna,dobra,niska,wysoki,niepowodzenie
dab,brunatna,dobra,niska,wysoki,niepowodzenie
brzoza,brunatna,dobra,niska,wysoki,niepowodzenie
buk,czarnoziem,dobra,niska,wysoki,niepowodzenie
jodla,czarnoziem,dobra,niska,wysoki,niepowodzenie
swierk,czarnoziem,dobra,niska,wysoki,niepowodzenie
sosna,czarnoziem,dobra,niska,wysoki,powodzenie
dab,czarnoziem,dobra,niska,wysoki,niepowodzenie
brzoza,czarnoziem,dobra,niska,wysoki,powodzenie
buk,bielicowa,dobra,umiarkowana,niski,niepowodzenie
jodla,bielicowa,dobra,umiarkowana,niski,powodzenie
swierk,bielicowa,dobra,umiarkowana,niski,powodzenie
sosna,bielicowa,dobra,umiarkowana,niski,powodzenie
dab,bielicowa,dobra,umiarkowana,niski,powodzenie
brzoza,bielicowa,dobra,umiarkowana,niski,powodzenie
buk,plowa,dobra,umiarkowana,niski,powodzenie
jodla,plowa,dobra,umiarkowana,niski,niepowodzenie
swierk,plowa,dobra,umiarkowana,niski,powodzenie
sosna,plowa,dobra,umiarkowana,niski,niepowodzenie
dab,plowa,dobra,umiarkowana,niski,niepowodzenie
brzoza,plowa,dobra,umiarkowana,niski,niepowodzenie
buk,brunatna,dobra,umiarkowana,niski,powodzenie
jodla,brunatna,dobra,umiarkowana,niski,powodzenie
swierk,brunatna,dobra,umiarkowana,niski,powodzenie
sosna,brunatna,dobra,umiarkowana,niski,powodzenie
dab,brunatna,dobra,umiarkowana,niski,niepowodzenie
brzoza,brunatna,dobra,umiarkowana,niski,niepowodzenie
buk,czarnoziem,dobra,umiarkowana,niski,powodzenie
jodla,czarnoziem,dobra,umiarkowana,niski,powodzenie
swierk,czarnoziem,dobra,umiarkowana,niski,powodzenie
sosna,czarnoziem,dobra,umiarkowana,niski,powodzenie
dab,czarnoziem,dobra,umiarkowana,niski,powodzenie
brzoza,czarnoziem,dobra,umiarkowana,niski,powodzenie
buk,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
jodla,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
swierk,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
sosna,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
dab,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
brzoza,bielicowa,dobra,umiarkowana,umiarkowany,powodzenie
buk,plowa,dobra,umiarkowana,umiarkowany,powodzenie
jodla,plowa,dobra,umiarkowana,umiarkowany,powodzenie
swierk,plowa,dobra,umiarkowana,umiarkowany,powodzenie
sosna,plowa,dobra,umiarkowana,umiarkowany,powodzenie
dab,plowa,dobra,umiarkowana,umiarkowany,powodzenie
brzoza,plowa,dobra,umiarkowana,umiarkowany,powodzenie
buk,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
jodla,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
swierk,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
sosna,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
dab,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
brzoza,brunatna,dobra,umiarkowana,umiarkowany,powodzenie
buk,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
jodla,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
swierk,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
sosna,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
dab,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
brzoza,czarnoziem,dobra,umiarkowana,umiarkowany,powodzenie
buk,bielicowa,dobra,umiarkowana,wysoki,powodzenie
jodla,bielicowa,dobra,umiarkowana,wysoki,powodzenie
swierk,bielicowa,dobra,umiarkowana,wysoki,powodzenie
sosna,bielicowa,dobra,umiarkowana,wysoki,niepowodzenie
dab,bielicowa,dobra,umiarkowana,wysoki,powodzenie
brzoza,bielicowa,dobra,umiarkowana,wysoki,powodzenie
buk,plowa,dobra,umiarkowana,wysoki,niepowodzenie
jodla,plowa,dobra,umiarkowana,wysoki,niepowodzenie
swierk,plowa,dobra,umiarkowana,wysoki,niepowodzenie
sosna,plowa,dobra,umiarkowana,wysoki,niepowodzenie
dab,plowa,dobra,umiarkowana,wysoki,niepowodzenie
brzoza,plowa,dobra,umiarkowana,wysoki,powodzenie
buk,brunatna,dobra,umiarkowana,wysoki,powodzenie
jodla,brunatna,dobra,umiarkowana,wysoki,powodzenie
swierk,brunatna,dobra,umiarkowana,wysoki,powodzenie
sosna,brunatna,dobra,umiarkowana,wysoki,niepowodzenie
dab,brunatna,dobra,umiarkowana,wysoki,powodzenie
brzoza,brunatna,dobra,umiarkowana,wysoki,powodzenie
buk,czarnoziem,dobra,umiarkowana,wysoki,niepowodzenie
jodla,czarnoziem,dobra,umiarkowana,wysoki,niepowodzenie
swierk,czarnoziem,dobra,umiarkowana,wysoki,powodzenie
sosna,czarnoziem,dobra,umiarkowana,wysoki,niepowodzenie
dab,czarnoziem,dobra,umiarkowana,wysoki,niepowodzenie
brzoza,czarnoziem,dobra,umiarkowana,wysoki,niepowodzenie
buk,bielicowa,dobra,wysoka,niski,niepowodzenie
jodla,bielicowa,dobra,wysoka,niski,niepowodzenie
swierk,bielicowa,dobra,wysoka,niski,niepowodzenie
sosna,bielicowa,dobra,wysoka,niski,niepowodzenie
dab,bielicowa,dobra,wysoka,niski,niepowodzenie
brzoza,bielicowa,dobra,wysoka,niski,niepowodzenie
buk,plowa,dobra,wysoka,niski,niepowodzenie
jodla,plowa,dobra,wysoka,niski,niepowodzenie
swierk,plowa,dobra,wysoka,niski,niepowodzenie
sosna,plowa,dobra,wysoka,niski,niepowodzenie
dab,plowa,dobra,wysoka,niski,powodzenie
brzoza,plowa,dobra,wysoka,niski,niepowodzenie
buk,brunatna,dobra,wysoka,niski,niepowodzenie
jodla,brunatna,dobra,wysoka,niski,niepowodzenie
swierk,brunatna,dobra,wysoka,niski,niepowodzenie
sosna,brunatna,dobra,wysoka,niski,niepowodzenie
dab,brunatna,dobra,wysoka,niski,powodzenie
brzoza,brunatna,dobra,wysoka,niski,niepowodzenie
buk,czarnoziem,dobra,wysoka,niski,niepowodzenie
jodla,czarnoziem,dobra,wysoka,niski,niepowodzenie
swierk,czarnoziem,dobra,wysoka,niski,niepowodzenie
sosna,czarnoziem,dobra,wysoka,niski,powodzenie
dab,czarnoziem,dobra,wysoka,niski,niepowodzenie
brzoza,czarnoziem,dobra,wysoka,niski,niepowodzenie
buk,bielicowa,dobra,wysoka,umiarkowany,powodzenie
jodla,bielicowa,dobra,wysoka,umiarkowany,powodzenie
swierk,bielicowa,dobra,wysoka,umiarkowany,powodzenie
sosna,bielicowa,dobra,wysoka,umiarkowany,powodzenie
dab,bielicowa,dobra,wysoka,umiarkowany,niepowodzenie
brzoza,bielicowa,dobra,wysoka,umiarkowany,niepowodzenie
buk,plowa,dobra,wysoka,umiarkowany,niepowodzenie
jodla,plowa,dobra,wysoka,umiarkowany,powodzenie
swierk,plowa,dobra,wysoka,umiarkowany,niepowodzenie
sosna,plowa,dobra,wysoka,umiarkowany,powodzenie
dab,plowa,dobra,wysoka,umiarkowany,niepowodzenie
brzoza,plowa,dobra,wysoka,umiarkowany,powodzenie
buk,brunatna,dobra,wysoka,umiarkowany,powodzenie
jodla,brunatna,dobra,wysoka,umiarkowany,powodzenie
swierk,brunatna,dobra,wysoka,umiarkowany,niepowodzenie
sosna,brunatna,dobra,wysoka,umiarkowany,powodzenie
dab,brunatna,dobra,wysoka,umiarkowany,niepowodzenie
brzoza,brunatna,dobra,wysoka,umiarkowany,powodzenie
buk,czarnoziem,dobra,wysoka,umiarkowany,niepowodzenie
jodla,czarnoziem,dobra,wysoka,umiarkowany,powodzenie
swierk,czarnoziem,dobra,wysoka,umiarkowany,powodzenie
sosna,czarnoziem,dobra,wysoka,umiarkowany,powodzenie
dab,czarnoziem,dobra,wysoka,umiarkowany,niepowodzenie
brzoza,czarnoziem,dobra,wysoka,umiarkowany,powodzenie
buk,bielicowa,dobra,wysoka,wysoki,niepowodzenie
jodla,bielicowa,dobra,wysoka,wysoki,powodzenie
swierk,bielicowa,dobra,wysoka,wysoki,niepowodzenie
sosna,bielicowa,dobra,wysoka,wysoki,niepowodzenie
dab,bielicowa,dobra,wysoka,wysoki,niepowodzenie
brzoza,bielicowa,dobra,wysoka,wysoki,powodzenie
buk,plowa,dobra,wysoka,wysoki,powodzenie
jodla,plowa,dobra,wysoka,wysoki,niepowodzenie
swierk,plowa,dobra,wysoka,wysoki,powodzenie
sosna,plowa,dobra,wysoka,wysoki,niepowodzenie
dab,plowa,dobra,wysoka,wysoki,niepowodzenie
brzoza,plowa,dobra,wysoka,wysoki,niepowodzenie
buk,brunatna,dobra,wysoka,wysoki,niepowodzenie
jodla,brunatna,dobra,wysoka,wysoki,niepowodzenie
swierk,brunatna,dobra,wysoka,wysoki,powodzenie
sosna,brunatna,dobra,wysoka,wysoki,niepowodzenie
dab,brunatna,dobra,wysoka,wysoki,powodzenie
brzoza,brunatna,dobra,wysoka,wysoki,niepowodzenie
buk,czarnoziem,dobra,wysoka,wysoki,powodzenie
jodla,czarnoziem,dobra,wysoka,wysoki,powodzenie
swierk,czarnoziem,dobra,wysoka,wysoki,niepowodzenie
sosna,czarnoziem,dobra,wysoka,wysoki,powodzenie
dab,czarnoziem,dobra,wysoka,wysoki,powodzenie
brzoza,czarnoziem,dobra,wysoka,wysoki,powodzenie
